,id,full_name
0,76001,Alaa Abdelnaby
1,76002,Zaid Abdul-Aziz
2,76003,Kareem Abdul-Jabbar
3,51,Mahmoud Abdul-Rauf
4,1505,Tariq Abdul-Wahad
5,949,Shareef Abdur-Rahim
6,76005,Tom Abernethy
7,76006,Forest Able
8,76007,John Abramovic
9,203518,Alex Abrines
10,1630173,Precious Achiuwa
11,101165,Alex Acker
12,76008,Donald Ackerman
13,76009,Mark Acres
14,76010,Charles Acton
15,203112,Quincy Acy
16,76011,Alvan Adams
17,76012,Don Adams
18,200801,Hassan Adams
19,1629121,Jaylen Adams
20,203919,Jordan Adams
21,149,Michael Adams
22,203500,Steven Adams
23,912,Rafael Addison
24,1628389,Bam Adebayo
25,1629061,Deng Adel
26,76015,Rick Adelman
27,202399,Jeff Adrien
28,201167,Arron Afflalo
29,1630534,Ochai Agbaji
30,200772,Maurice Ager
31,76016,Mark Aguirre
32,201336,Blake Ahearn
33,76017,Danny Ainge
34,201582,Alexis Ajinca
35,76018,Henry Akin
36,203006,Josh Akognon
37,1629152,DeVaughn Akoon-Purcell
38,202374,Solomon Alabi
39,76019,Mark Alarie
40,76020,Gary Alcorn
41,1630583,Santi Aldama
42,203128,Furkan Aldemir
43,202332,Cole Aldrich
44,200746,LaMarcus Aldridge
45,76021,Chuck Aleksinas
46,1626146,Cliff Alexander
47,724,Cory Alexander
48,2042,Courtney Alexander
49,76022,Gary Alexander
50,201570,Joe Alexander
51,1629734,Kyle Alexander
52,1630234,Ty-Shon Alexander
53,2349,Victor Alexander
54,1629638,Nickeil Alexander-Walker
55,76024,Steve Alford
56,1628959,Rawle Alkins
57,76028,Bob Allen
58,1628960,Grayson Allen
59,1628386,Jarrett Allen
60,706,Jerome Allen
61,1628443,Kadeem Allen
62,202730,Lavoy Allen
63,76027,Lucius Allen
64,2124,Malik Allen
65,76025,Randy Allen
66,951,Ray Allen
67,2754,Tony Allen
68,76029,Odis Allison
69,200984,Lance Allred
70,76030,Darrell Allums
71,201165,Morris Almond
72,308,Derrick Alston
73,1747,Rafer Alston
74,1824,Peter Aluma
75,1630631,Jose Alvarado
76,680,John Amaechi
77,732,Ashraf Amaya
78,202329,Al-Farouq Aminu
79,200811,Lou Amundson
80,76034,Bob Anderegg
81,2365,Chris Andersen
82,2431,David Andersen
83,101187,Alan Anderson
84,202079,Antonio Anderson
85,76035,Cliff Anderson
86,76036,Daniel Anderson
87,1507,Derek Anderson
88,76037,Dwight Anderson
89,944,Eric Anderson
90,246,Greg Anderson
91,202341,James Anderson
92,76040,Jerome Anderson
93,1626147,Justin Anderson
94,72,Kenny Anderson
95,76041,Kim Anderson
96,203937,Kyle Anderson
97,76042,Michael Anderson
98,76043,Mitchell Anderson
99,98,Nick Anderson
100,76045,Richard Anderson
101,76046,Ron Anderson
102,201583,Ryan Anderson
103,1000,Shandon Anderson
104,335,Willie Anderson
105,76048,Wally Anderzunas
106,101149,Martynas Andriuskevicius
107,76049,Don Anielak
108,1628387,Ike Anigbogu
109,76050,Michael Ansley
110,1512,Chris Anstey
111,203507,Giannis Antetokounmpo
112,1628961,Kostas Antetokounmpo
113,203648,Thanasis Antetokounmpo
114,2546,Carmelo Anthony
115,1630175,Cole Anthony
116,21,Greg Anthony
117,201202,Joel Anthony
118,203544,Pero Antic
119,1628384,OG Anunoby
120,203951,Keith Appling
121,2737,Rafael Araujo
122,76053,Stacey Arceneaux
123,76054,Nate Archibald
124,2425,Robert Archibald
125,1627853,Ryan Arcidiacono
126,76055,Jim Ard
127,2240,Gilbert Arenas
128,2772,Trevor Ariza
129,76056,Paul Arizin
130,76057,Joe Arlauckas
131,769,B.J. Armstrong
132,76061,Bob Armstrong
133,2220,Brandon Armstrong
134,353,Darrell Armstrong
135,200756,Hilton Armstrong
136,76060,Paul Armstrong
137,76059,Tate Armstrong
138,76062,Jesse Arnelle
139,76063,Jay Arnette
140,76064,Bob Arnzen
141,2306,Carlos Arroyo
142,201589,Darrell Arthur
143,76065,John Arthurs
144,1628503,Jamel Artis
145,201600,Omer Asik
146,355,Vincent Askew
147,173,Keith Askins
148,76068,Don Asmonga
149,76069,Richard Atha
150,1088,Chucky Atkins
151,76070,Alvin Attles
152,76071,Chet Aubuchon
153,278,Stacey Augmon
154,201571,D.J. Augustin
155,200788,James Augustine
156,1134,Ike Austin
157,76073,John Austin
158,76074,Ken Austin
159,1630166,Deni Avdija
160,138,Anthony Avent
161,76076,William Averitt
162,1895,William Avery
163,76078,Dennis Awtrey
164,1630555,Joel Ayayi
165,202970,Gustavo Ayon
166,201965,Jeff Ayres
167,1629028,Deandre Ayton
168,101235,Kelenna Azubuike
169,1628962,Udoka Azubuike
170,203569,Chris Babb
171,202337,Luke Babbitt
172,76079,Milos Babic
173,76080,Johnny Bach
174,1628407,Dwayne Bacon
175,1630641,Ibou Badji
176,76081,Jim Baechtold
177,2053,Dalibor Bagaric
178,76082,John Bagley
179,1628963,Marvin Bagley III
180,1641735,Amari Bailey
181,76084,Carl Bailey
182,76083,Gus Bailey
183,76085,James Bailey
184,1847,Thurl Bailey
185,1753,Toby Bailey
186,203946,Cameron Bairstow
187,1858,Mark Baker
188,2486,Maurice Baker
189,76089,Norm Baker
190,1627758,Ron Baker
191,452,Vin Baker
